"Metro","AY2003","AY2004","AY2005","AY2006","AY2007","AY2008","AY2009","AY2010","AY2011","AY2012","AY2013","AY2014","AY2015","AY2016","AY2017","AY2018","AY2019","AY2020","AY2021","AY2022","AY2023","AY2024","AY2025","AY2026","AY2027","AY2028"
"Atlanta",36520,37540,38710,40600,42680,45930,47970,47900,48970,47310,48570,48320,48030,49600,50530,52220,53330,52510,52790,53840,56050,58650,60100,58160,56390,53510
"Baltimore",NA,24130,24550,25070,25900,26210,25830,25770,25290,25300,24950,23440,23170,23130,22680,23080,22780,23510,23790,24140,23730,24390,24610,24460,23750,23380
"Boston",37950,39740,40610,41660,43070,44120,44560,44000,43710,43360,42970,42050,41770,42210,41700,42050,42010,41710,42020,41880,40630,41140,41320,40950,40030,38850
"Chicago",NA,87350,88520,91840,94340,98350,96420,97390,100310,101250,101070,95450,96430,96190,95720,97840,97630,96310,96290,97170,92410,93640,93820,91830,88720,85590
"Dallas-Fort Worth",54870,57630,57720,58140,59970,62760,66110,65130,66130,65490,65180,62430,65320,66080,67800,69270,70290,70460,71510,71850,72870,75700,77350,77020,76430,73820
"Denver",NA,21470,20800,20690,21480,21850,22570,23540,24220,23060,22750,22010,22940,23600,24140,24990,25420,25790,26620,26450,26820,27370,27480,27190,26830,26070
"Detroit",42480,41110,43350,44360,49230,51230,50250,51470,50370,48440,47480,44000,45180,44900,44370,44610,43950,42630,42110,42510,41780,41880,41070,39820,38690,37920
"Houston",NA,54580,54440,55550,55540,58340,61260,62110,63270,62980,62930,60480,63710,64770,66670,68520,69910,70300,71710,72330,73550,76550,78530,78210,77710,74830
"Los Angeles",111960,112390,117470,112670,111250,121850,125180,129400,133360,128400,125850,121630,125410,122440,123550,124970,123900,123710,126300,126950,128590,132430,133390,130610,124270,119780
"Miami-Ft Lauderdale",NA,38870,39020,39190,41130,43060,44680,45990,49080,45900,46510,43680,46580,46790,47970,49160,49400,48680,48900,49420,54510,58360,58670,55710,52950,51490
"Minneapolis-St Paul",33670,32550,33660,34630,35600,36960,36900,36150,35780,34350,33670,33180,33620,33560,33950,34520,35080,34760,35730,36300,37240,38700,39130,38500,37540,36650
"New York City",NA,143860,150730,156690,162340,169830,174960,175340,179490,177400,174200,168700,170940,170570,171530,173020,171600,170740,172390,172240,165110,168160,171330,168090,165900,162610
"Philadelphia",51310,54070,55700,56270,56950,58060,58410,59890,60080,58930,57870,55890,54870,55230,55890,56370,56130,55350,56140,56080,56360,58120,59010,58040,56950,55810
"Phoenix",NA,35360,37980,41080,36420,40770,41160,42020,42420,41190,39870,38930,40200,40590,41080,41480,41670,41750,42360,42480,47450,50970,51500,49990,47090,44980
"Pittsburgh",24420,24530,24940,24920,25400,25210,25160,25100,24950,24170,23880,23050,22330,22280,22460,22700,22370,21880,22130,22070,21200,21630,21770,21440,20920,20510
"Portland",NA,18670,18390,18720,18980,19400,19680,19950,20510,19300,19250,19100,19220,19640,19730,19920,19970,19820,20290,20640,19820,21010,21350,21390,20630,19970
"Riverside",39270,39230,41730,41490,43530,46430,50450,48670,49950,47980,46840,45140,46350,45430,45590,45830,45500,45340,46150,46380,46850,48130,48220,47200,44820,43290
"Sacramento",NA,20620,21330,21140,21290,21920,23630,22600,22700,21680,21070,20140,20470,19820,19820,19770,19390,19190,19480,19440,19200,19580,19510,19290,18540,18050
"San Antonio",20240,20170,19840,19750,19950,21010,21860,23400,23890,24090,24250,23380,25010,25820,26870,27850,28790,29190,30010,30530,31220,32330,33200,32960,32690,31080
"San Diego",NA,28100,28770,28820,29120,30850,32910,32210,32820,31520,30790,29650,30330,29590,29710,29850,29500,29350,29910,30010,30100,30840,30900,30340,28930,28010
"San Francisco",32620,32810,33150,32990,33580,34890,36150,36020,36540,35000,34150,32750,33620,32410,32690,32910,32290,32070,32680,32630,32520,33380,33580,33180,31930,30950
"Seattle",NA,28850,28440,28620,29250,28830,29360,30860,31050,29490,28770,27800,28450,28770,28790,29040,28940,28710,29350,29800,29130,30800,31720,32210,31870,31050
"St Louis",26660,27820,27170,27590,28450,28830,29760,29470,29140,28750,28020,26830,26850,27330,27110,27550,27400,27040,27160,27470,27490,28420,28620,28250,27470,26710
"Tampa",NA,18510,18920,19450,19890,20680,21360,20930,21800,20440,20390,19050,19830,19570,19740,19900,19740,19190,19060,19100,20370,21300,21420,20570,19600,19080
"Washington DC",47560,48400,53260,50190,49750,54640,55780,55790,57030,57020,56880,54680,55190,55800,56050,58380,58880,60610,61820,63460,64880,68250,69720,68610,67560,66220
